category_code,category_name,sort_order
68130609,"人工颅骨",784
68130610,"脑积水分流器及组件",785
68130611,"颅内动脉瘤血流导向装置",786
681307,"无源植入器械-心血管植入物",787
68130701,"血管内假体",788
68130702,"血管支架",789
68130703,"腔静脉滤器",790
68130704,"人工血管",791
68130705,"心血管补片",792
68130706,"人工心脏瓣膜及瓣膜修复器械",793
68130707,"心脏封堵器",794
68130708,"心血管栓塞器械",795
681308,"无源植入器械-耳鼻喉植入物",796
68130801,"听小骨假体",797
68130802,"耳内假体",798
68130803,"植入性止鼾装置",799
681309,"无源植入器械-整形及普通外科植入物",800
68130901,"整形填充材料",801
68130902,"整形用注射填充物",802
68130903,"乳房植入物",803
68130904,"外科补片/外科修补网",804
68130905,"修补固定器",805
68130906,"非血管支架",806
68130907,"支气管内活瓣",807
